           x	           y	           z	          vx	          vy	          vz	           C
   0.8403606	   0.0555290	   0.0006796	   0.0385620	   0.0170646	  -0.0061839	   3.1742745
   0.8414212	   0.0558933	   0.0005072	   0.0379583	   0.0092134	  -0.0062613	   3.1742745
   0.8424624	   0.0560390	   0.0003329	   0.0371672	   0.0013003	  -0.0063167	   3.1742745
   0.8434791	   0.0559650	   0.0001574	   0.0361990	  -0.0066501	  -0.0063494	   3.1742745
   0.8444668	   0.0556704	  -0.0000188	   0.0350657	  -0.0146126	  -0.0063587	   3.1742745
   0.8454209	   0.0551553	  -0.0001948	   0.0337809	  -0.0225619	  -0.0063441	   3.1742745
   0.8463375	   0.0544205	  -0.0003701	   0.0323594	  -0.0304724	  -0.0063049	   3.1742745
   0.8472130	   0.0534673	  -0.0005440	   0.0308175	  -0.0383177	  -0.0062406	   3.1742745
   0.8480443	   0.0522980	  -0.0007157	   0.0291723	  -0.0460710	  -0.0061505	   3.1742745
   0.8488288	   0.0509154	  -0.0008845	   0.0274424	  -0.0537044	  -0.0060343	   3.1742745
   0.8495644	   0.0493233	  -0.0010498	   0.0256468	  -0.0611893	  -0.0058914	   3.1742744
   0.8502496	   0.0475262	  -0.0012108	   0.0238051	  -0.0684958	  -0.0057215	   3.1742744
   0.8508834	   0.0455295	  -0.0013666	   0.0219369	  -0.0755928	  -0.0055242	   3.1742744
   0.8514652	   0.0433394	  -0.0015166	   0.0200619	  -0.0824483	  -0.0052996	   3.1742744
   0.8519952	   0.0409631	  -0.0016601	   0.0181987	  -0.0890286	  -0.0050475	   3.1742744
   0.8524740	   0.0384087	  -0.0017961	   0.0163650	  -0.0952991	  -0.0047682	   3.1742744
   0.8529025	   0.0356853	  -0.0019240	   0.0145768	  -0.1012241	  -0.0044621	   3.1742744
   0.8532823	   0.0328029	  -0.0020431	   0.0128476	  -0.1067673	  -0.0041299	   3.1742744
   0.8536151	   0.0297726	  -0.0021527	   0.0111885	  -0.1118920	  -0.0037727	   3.1742744
   0.8539030	   0.0266066	  -0.0022520	   0.0096070	  -0.1165617	  -0.0033918	   3.1742744
   0.8541482	   0.0233178	  -0.0023404	   0.0081073	  -0.1207410	  -0.0029887	   3.1742744
   0.8543530	   0.0199205	  -0.0024174	   0.0066895	  -0.1243960	  -0.0025656	   3.1742744
   0.8545197	   0.0164295	  -0.0024824	   0.0053496	  -0.1274954	  -0.0021247	   3.1742744
   0.8546501	   0.0128607	  -0.0025350	   0.0040800	  -0.1300113	  -0.0016688	   3.1742744
   0.8547463	   0.0092305	  -0.0025748	   0.0028693	  -0.1319201	  -0.0012008	   3.1742744
   0.8548096	   0.0055561	  -0.0026015	   0.0017030	  -0.1332032	  -0.0007241	   3.1742745
   0.8548409	   0.0018549	  -0.0026149	   0.0005644	  -0.1338480	  -0.0002419	   3.1742745
   0.8548409	  -0.0018552	  -0.0026149	  -0.0005649	  -0.1338479	   0.0002420	   3.1742745
   0.8548096	  -0.0055563	  -0.0026015	  -0.0017035	  -0.1332030	   0.0007241	   3.1742745
   0.8547463	  -0.0092307	  -0.0025748	  -0.0028698	  -0.1319197	   0.0012008	   3.1742745
   0.8546501	  -0.0128609	  -0.0025350	  -0.0040806	  -0.1300108	   0.0016688	   3.1742745
   0.8545196	  -0.0164297	  -0.0024824	  -0.0053502	  -0.1274948	   0.0021247	   3.1742745
   0.8543530	  -0.0199207	  -0.0024174	  -0.0066901	  -0.1243953	   0.0025656	   3.1742745
   0.8541481	  -0.0233180	  -0.0023404	  -0.0081080	  -0.1207403	   0.0029887	   3.1742745
   0.8539029	  -0.0266067	  -0.0022520	  -0.0096077	  -0.1165609	   0.0033918	   3.1742745
   0.8536150	  -0.0297727	  -0.0021527	  -0.0111892	  -0.1118912	   0.0037727	   3.1742745
   0.8532821	  -0.0328029	  -0.0020431	  -0.0128484	  -0.1067665	   0.0041299	   3.1742745
   0.8529023	  -0.0356853	  -0.0019240	  -0.0145775	  -0.1012233	   0.0044621	   3.1742745
   0.8524738	  -0.0384087	  -0.0017961	  -0.0163658	  -0.0952983	   0.0047682	   3.1742745
   0.8519950	  -0.0409631	  -0.0016600	  -0.0181995	  -0.0890279	   0.0050475	   3.1742745
   0.8514650	  -0.0433394	  -0.0015166	  -0.0200627	  -0.0824476	   0.0052996	   3.1742745
   0.8508831	  -0.0455294	  -0.0013666	  -0.0219377	  -0.0755922	   0.0055242	   3.1742745
   0.8502493	  -0.0475261	  -0.0012108	  -0.0238059	  -0.0684951	   0.0057215	   3.1742745
   0.8495641	  -0.0493232	  -0.0010498	  -0.0256477	  -0.0611887	   0.0058914	   3.1742745
   0.8488285	  -0.0509152	  -0.0008845	  -0.0274433	  -0.0537038	   0.0060343	   3.1742745
   0.8480440	  -0.0522978	  -0.0007157	  -0.0291733	  -0.0460704	   0.0061505	   3.1742745
