         # x	           y	           z	          vx	          vy	          vz	           C
   0.8270197	  -0.0311498	   0.0000000	  -0.0261754	   0.1046091	   0.0000000	   3.1743734
   0.8266667	  -0.0296930	   0.0000000	  -0.0250412	   0.1067540	   0.0000000	   3.1743734
   0.8263295	  -0.0282074	   0.0000000	  -0.0238685	   0.1087970	   0.0000000	   3.1743734
   0.8260089	  -0.0266943	   0.0000000	  -0.0226591	   0.1107358	   0.0000000	   3.1743734
   0.8257051	  -0.0251552	   0.0000000	  -0.0214146	   0.1125685	   0.0000000	   3.1743734
   0.8254187	  -0.0235916	   0.0000000	  -0.0201368	   0.1142928	   0.0000000	   3.1743734
   0.8251501	  -0.0220050	   0.0000000	  -0.0188277	   0.1159069	   0.0000000	   3.1743734
   0.8248998	  -0.0203969	   0.0000000	  -0.0174892	   0.1174089	   0.0000000	   3.1743734
   0.8246681	  -0.0187689	   0.0000000	  -0.0161232	   0.1187971	   0.0000000	   3.1743734
   0.8244554	  -0.0171226	   0.0000000	  -0.0147319	   0.1200700	   0.0000000	   3.1743734
   0.8242621	  -0.0154595	   0.0000000	  -0.0133173	   0.1212261	   0.0000000	   3.1743734
   0.8240884	  -0.0137813	   0.0000000	  -0.0118817	   0.1222640	   0.0000000	   3.1743734
   0.8239346	  -0.0120896	   0.0000000	  -0.0104272	   0.1231824	   0.0000000	   3.1743734
   0.8238010	  -0.0103861	   0.0000000	  -0.0089561	   0.1239804	   0.0000000	   3.1743734
   0.8236878	  -0.0086724	   0.0000000	  -0.0074706	   0.1246569	   0.0000000	   3.1743734
   0.8235952	  -0.0069502	   0.0000000	  -0.0059732	   0.1252112	   0.0000000	   3.1743734
   0.8235232	  -0.0052213	   0.0000000	  -0.0044661	   0.1256426	   0.0000000	   3.1743734
   0.8234721	  -0.0034872	   0.0000000	  -0.0029517	   0.1259505	   0.0000000	   3.1743734
   0.8234419	  -0.0017498	   0.0000000	  -0.0014324	   0.1261346	   0.0000000	   3.1743734
   0.8234326	  -0.0000106	   0.0000000	   0.0000894	   0.1261947	   0.0000000	   3.1743734


   0.8224000	   0.0000000	   0.0000000	   0.0000000	   0.1367156	   0.0000000	   3.1719110
   0.8224116	   0.0018907	   0.0000000	   0.0016781	   0.1366482	   0.0000000	   3.1719110
   0.8224464	   0.0037795	   0.0000000	   0.0033535	   0.1364460	   0.0000000	   3.1719109
   0.8225043	   0.0056645	   0.0000000	   0.0050235	   0.1361092	   0.0000000	   3.1719110
   0.8225853	   0.0075440	   0.0000000	   0.0066854	   0.1356382	   0.0000000	   3.1719110
   0.8226892	   0.0094161	   0.0000000	   0.0083365	   0.1350338	   0.0000000	   3.1719109
   0.8228158	   0.0112788	   0.0000000	   0.0099744	   0.1342965	   0.0000000	   3.1719110
   0.8229650	   0.0131305	   0.0000000	   0.0115962	   0.1334274	   0.0000000	   3.1719110
