           x	           y	           z	          vx	          vy	          vz	           C	           T
   0.8500038	  -0.0481225	  -0.0007713	  -0.0244077	  -0.0659909	   0.0038549	   3.1743176	   2.7430215
   0.8493094	  -0.0498331	  -0.0006640	  -0.0262168	  -0.0587012	   0.0039611	   3.1743176	   2.7430215
   0.8485660	  -0.0513414	  -0.0005541	  -0.0279745	  -0.0512465	   0.0040497	   3.1743176	   2.7430215
   0.8477753	  -0.0526433	  -0.0004420	  -0.0296618	  -0.0436553	   0.0041210	   3.1743176	   2.7430215
   0.8469396	  -0.0537354	  -0.0003282	  -0.0312606	  -0.0359551	   0.0041752	   3.1743176	   2.7430215
   0.8460613	  -0.0546150	  -0.0002131	  -0.0327531	  -0.0281725	   0.0042128	   3.1743176	   2.7430215
   0.8451438	  -0.0552804	  -0.0000972	  -0.0341230	  -0.0203336	   0.0042340	   3.1743176	   2.7430215
   0.8441906	  -0.0557303	   0.0000190	  -0.0353549	  -0.0124635	   0.0042393	   3.1743176	   2.7430215
   0.8432056	  -0.0559641	   0.0001352	  -0.0364347	  -0.0045872	   0.0042291	   3.1743176	   2.7430215
   0.8421933	  -0.0559821	   0.0002509	  -0.0373496	   0.0032710	   0.0042037	   3.1743176	   2.7430215
   0.8411582	  -0.0557850	   0.0003657	  -0.0380884	   0.0110869	   0.0041635	   3.1743176	   2.7430215
   0.8401054	  -0.0553745	   0.0004792	  -0.0386413	   0.0188363	   0.0041090	   3.1743176	   2.7430215
   0.8390401	  -0.0547525	   0.0005910	  -0.0390000	   0.0264954	   0.0040407	   3.1743176	   2.7430215
   0.8379677	  -0.0539220	   0.0007007	  -0.0391578	   0.0340403	   0.0039588	   3.1743176	   2.7430215
   0.8368938	  -0.0528863	   0.0008080	  -0.0391094	   0.0414471	   0.0038638	   3.1743176	   2.7430215
   0.8358241	  -0.0516496	   0.0009126	  -0.0388511	   0.0486919	   0.0037562	   3.1743176	   2.7430215
   0.8347644	  -0.0502167	   0.0010140	  -0.0383809	   0.0557511	   0.0036363	   3.1743176	   2.7430215
   0.8337204	  -0.0485930	   0.0011119	  -0.0376980	   0.0626007	   0.0035047	   3.1743176	   2.7430215
   0.8326982	  -0.0467846	   0.0012061	  -0.0368036	   0.0692173	   0.0033618	   3.1743176	   2.7430215
   0.8317033	  -0.0447981	   0.0012963	  -0.0356999	   0.0755773	   0.0032081	   3.1743176	   2.7430215
   0.8307415	  -0.0426409	   0.0013820	  -0.0343910	   0.0816577	   0.0030440	   3.1743176	   2.7430215
   0.8298184	  -0.0403211	   0.0014632	  -0.0328822	   0.0874358	   0.0028701	   3.1743176	   2.7430215
   0.8289394	  -0.0378471	   0.0015394	  -0.0311806	   0.0928894	   0.0026870	   3.1743176	   2.7430215
   0.8281095	  -0.0352283	   0.0016105	  -0.0292942	   0.0979970	   0.0024952	   3.1743176	   2.7430215
   0.8273339	  -0.0324743	   0.0016762	  -0.0272330	   0.1027381	   0.0022952	   3.1743176	   2.7430215
   0.8266170	  -0.0295955	   0.0017364	  -0.0250078	   0.1070929	   0.0020878	   3.1743176	   2.7430215
   0.8259633	  -0.0266028	   0.0017907	  -0.0226310	   0.1110431	   0.0018736	   3.1743176	   2.7430215
   0.8253767	  -0.0235075	   0.0018391	  -0.0201161	   0.1145716	   0.0016532	   3.1743176	   2.7430215
   0.8248609	  -0.0203214	   0.0018813	  -0.0174776	   0.1176627	   0.0014273	   3.1743176	   2.7430215
